10/01/15	10/01/13
11/01/15	10/01/13
12/01/15	10/01/13
01/01/16	10/01/13
02/01/16	10/01/13
03/01/16	05/01/15
04/01/16	05/01/15
05/01/16	05/01/15
06/01/16	05/01/15
07/01/16	05/01/15
08/01/16	05/01/15
09/01/16	05/01/15
10/01/16	05/01/14
11/01/16	05/01/14
12/01/16	05/01/14
01/01/17	05/01/14
02/01/17	05/01/14
03/01/17	05/01/14
04/01/17	05/01/14
05/01/17	09/01/15
06/01/17	09/01/15
07/01/17	09/01/15
08/01/17	09/01/15
09/01/17	09/01/15
10/01/17	09/01/15
11/01/17	09/01/15
12/01/17	09/01/15
01/01/18	09/01/15
02/01/18	01/01/16
03/01/18	01/01/16
04/01/18	01/01/16
05/01/18	01/01/16
06/01/18	01/01/16
07/01/18	01/01/16
08/01/18	01/01/16
09/01/18	01/01/16
10/01/18	08/08/15
11/01/18	08/08/15
12/01/18	12/01/15
01/01/19	01/01/16
02/01/19	01/01/16
03/01/19	01/01/16
04/01/19	01/01/16
05/01/19	01/01/16
06/01/19	01/01/16
07/01/19	06/01/16
08/01/19	06/01/16
09/01/19	06/01/16
10/01/19	03/01/17
